Nodes,Particles,Run1,Run2,Run3,Average
1,100000,42.120663,42.535473,41.889116,42.18
2,100000,36.361900,36.263175,36.275748,36.30
4,100000,33.840604,33.704174,33.634193,33.72
8,100000,32.190627,32.073351,31.950590,32.07
1,10000,3.875557,3.834373,3.907978,3.87
2,10000,3.680081,3.627175,3.638298,3.64
4,10000,3.458467,3.383261,3.380345,3.40
8,10000,3.259194,3.220908,3.232894,3.23
1,1000000,518.505265,519.266067,514.123382,517.29
2,1000000,435.957385,432.042651,434.356796,434.11
4,1000000,386.354973,382.551216,384.094729,384.33
8,1000000,359.950736,358.854877,357.631852,358.81
